Product ID,Title,Price ($),Original Price ($),Savings (%),Rating (★),Reviews,Orders,Category,URL,Image URL,Search Keyword,Scraped Date,Profit Margin (%)
10050000000,GPS Digital Watch Android iOS Compatible,67.73,128.80,47,4.3,679,32449,Electronics,https://www.aliexpress.com/item/10050000000.html,https://ae01.alicdn.com/kf/g0-591617-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000001,AMOLED Digital Watch Android iOS Compatible,25.81,33.64,23,4.8,2854,34063,Electronics,https://www.aliexpress.com/item/10050000001.html,https://ae01.alicdn.com/kf/g0-212606-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000002,AMOLED Digital Watch Android iOS Compatible,56.60,132.49,57,3.6,3321,25211,Electronics,https://www.aliexpress.com/item/10050000002.html,https://ae01.alicdn.com/kf/g0-560840-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000003,Smart Watch Max Fitness Tracker Blood Pressure,21.13,41.22,49,4.0,939,45707,Electronics,https://www.aliexpress.com/item/10050000003.html,https://ae01.alicdn.com/kf/g0-987698-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000004,Bluetooth AMOLED Smart Watch Pedometer,43.80,85.65,49,4.9,708,5288,Electronics,https://www.aliexpress.com/item/10050000004.html,https://ae01.alicdn.com/kf/g0-666475-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000005,Bluetooth AMOLED Smart Watch Pedometer,74.38,101.21,27,4.8,1108,40767,Electronics,https://www.aliexpress.com/item/10050000005.html,https://ae01.alicdn.com/kf/g0-104209-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000006,Bluetooth Elite Smart Watch Pedometer,35.56,59.63,40,4.4,4363,409,Electronics,https://www.aliexpress.com/item/10050000006.html,https://ae01.alicdn.com/kf/g0-800534-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000007,Smart Watch Elite Fitness Tracker Blood Pressure,33.45,73.42,54,3.5,4546,1510,Electronics,https://www.aliexpress.com/item/10050000007.html,https://ae01.alicdn.com/kf/g0-893953-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000008,Smart Watch AMOLED Fitness Tracker Blood Pressure,77.30,140.59,45,4.1,156,7177,Electronics,https://www.aliexpress.com/item/10050000008.html,https://ae01.alicdn.com/kf/g0-665539-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000009,Bluetooth Elite Smart Watch Pedometer,36.71,82.17,55,3.7,4416,14885,Electronics,https://www.aliexpress.com/item/10050000009.html,https://ae01.alicdn.com/kf/g0-590515-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000010,Bluetooth GPS Smart Watch Pedometer,76.25,103.42,26,4.2,3160,35451,Electronics,https://www.aliexpress.com/item/10050000010.html,https://ae01.alicdn.com/kf/g0-945621-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000011,Elite Smartwatch Sport Band Heart Rate Monitor,17.99,43.05,58,4.6,574,25357,Electronics,https://www.aliexpress.com/item/10050000011.html,https://ae01.alicdn.com/kf/g0-693266-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000012,Waterproof Elite Smart Watch Fitness,63.18,94.18,33,4.8,1753,32307,Electronics,https://www.aliexpress.com/item/10050000012.html,https://ae01.alicdn.com/kf/g0-114026-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000013,Smart Watch AMOLED Fitness Tracker Blood Pressure,79.96,133.14,40,4.7,1042,28456,Electronics,https://www.aliexpress.com/item/10050000013.html,https://ae01.alicdn.com/kf/g0-827477-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000014,Smart Watch GPS Fitness Tracker Blood Pressure,63.92,83.05,23,4.4,1712,6420,Electronics,https://www.aliexpress.com/item/10050000014.html,https://ae01.alicdn.com/kf/g0-669364-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000015,Waterproof Elite Smart Watch Fitness,17.88,38.18,53,4.1,3579,9966,Electronics,https://www.aliexpress.com/item/10050000015.html,https://ae01.alicdn.com/kf/g0-346099-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000016,Waterproof GPS Smart Watch Fitness,76.53,158.46,52,4.0,2515,32223,Electronics,https://www.aliexpress.com/item/10050000016.html,https://ae01.alicdn.com/kf/g0-355556-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000017,Bluetooth OLED Smart Watch Pedometer,75.79,113.19,33,4.8,2940,12875,Electronics,https://www.aliexpress.com/item/10050000017.html,https://ae01.alicdn.com/kf/g0-490640-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000018,Pro Digital Watch Android iOS Compatible,66.09,80.74,18,3.9,10,34954,Electronics,https://www.aliexpress.com/item/10050000018.html,https://ae01.alicdn.com/kf/g0-287730-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000019,Elite Smartwatch Sport Band Heart Rate Monitor,49.29,111.71,56,4.2,1979,4666,Electronics,https://www.aliexpress.com/item/10050000019.html,https://ae01.alicdn.com/kf/g0-442426-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000020,Smart Watch AMOLED Fitness Tracker Blood Pressure,51.00,91.85,44,3.6,4982,14401,Electronics,https://www.aliexpress.com/item/10050000020.html,https://ae01.alicdn.com/kf/g0-867799-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000021,Smart Watch AMOLED Fitness Tracker Blood Pressure,30.99,72.77,57,4.8,200,24803,Electronics,https://www.aliexpress.com/item/10050000021.html,https://ae01.alicdn.com/kf/g0-728188-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000022,GPS Digital Watch Android iOS Compatible,53.19,95.50,44,3.7,2592,31108,Electronics,https://www.aliexpress.com/item/10050000022.html,https://ae01.alicdn.com/kf/g0-555707-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000023,Waterproof GPS Smart Watch Fitness,48.99,104.95,53,4.8,1598,23467,Electronics,https://www.aliexpress.com/item/10050000023.html,https://ae01.alicdn.com/kf/g0-487304-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000024,Elite Digital Watch Android iOS Compatible,76.55,115.05,33,4.9,3602,2109,Electronics,https://www.aliexpress.com/item/10050000024.html,https://ae01.alicdn.com/kf/g0-763941-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000025,Waterproof AMOLED Smart Watch Fitness,35.17,79.83,56,3.6,2224,42534,Electronics,https://www.aliexpress.com/item/10050000025.html,https://ae01.alicdn.com/kf/g0-272011-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000026,Max Smartwatch Sport Band Heart Rate Monitor,39.29,88.19,55,3.6,2322,17759,Electronics,https://www.aliexpress.com/item/10050000026.html,https://ae01.alicdn.com/kf/g0-287712-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000027,Waterproof Pro Smart Watch Fitness,41.38,97.42,58,3.7,782,39247,Electronics,https://www.aliexpress.com/item/10050000027.html,https://ae01.alicdn.com/kf/g0-677154-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000028,Smart Watch OLED Fitness Tracker Blood Pressure,19.20,42.79,55,4.1,1217,45402,Electronics,https://www.aliexpress.com/item/10050000028.html,https://ae01.alicdn.com/kf/g0-767441-L.jpg,smartwatch,2026-02-05 23:07:35,60
10050000029,Bluetooth AMOLED Smart Watch Pedometer,76.21,169.10,55,5.0,779,19580,Electronics,https://www.aliexpress.com/item/10050000029.html,https://ae01.alicdn.com/kf/g0-416922-L.jpg,smartwatch,2026-02-05 23:07:35,60
